Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
_dl_rtld_libname2;rtld.c;211;0.2755467891693115;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.679711103439331;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.42044568061828613;0-2;LSB bit-flip
__GI___libc_enable_secure;../elf/dl-sysdep.c;56;0.7512178421020508;0-2;LSB bit-flip
_rtld_global;rtld.c;140;0.36315250396728516;0-2;LSB bit-flip
_dl_argv;rtld.c;86;0.5157132148742676;0-2;LSB bit-flip
preloadlist;rtld.c;745;0.6379919052124023;0-2;LSB bit-flip
version_info;rtld.c;747;0.4436757564544678;0-2;LSB bit-flip
_dl_argc;rtld.c;82;0.27872729301452637;0-2;LSB bit-flip
version_info;rtld.c;747;0.25131654739379883;0-2;LSB bit-flip
_dl_rtld_libname2;rtld.c;211;1.1071805953979492;0-2;LSB bit-flip
any_debug;rtld.c;2239;0.34818434715270996;0-2;LSB bit-flip
load_time;rtld.c;216;1.0843029022216797;0-2;LSB bit-flip
_dl_rtld_libname;rtld.c;210;0.7887558937072754;0-2;LSB bit-flip
preload_file;rtld.c;1551;0.27130794525146484;0-2;LSB bit-flip
capstr;dl-load.c;101;0.38256144523620605;0-2;LSB bit-flip
_rtld_global;rtld.c;140;0.9666080474853516;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.29854846000671387;0-2;LSB bit-flip
any_debug;rtld.c;2239;0.45734310150146484;0-2;LSB bit-flip
version_info;rtld.c;747;1.084503173828125;0-2;LSB bit-flip
_dl_rtld_libname;rtld.c;210;0.9387016296386719;0-2;LSB bit-flip
_dl_argc;rtld.c;82;0.9127304553985596;0-2;LSB bit-flip
_dl_rtld_libname2;rtld.c;211;0.2602219581604004;0-2;LSB bit-flip
_rtld_local_ro;rtld.c;202;0.6339929103851318;0-2;LSB bit-flip
_rtld_global;rtld.c;140;1.0476186275482178;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.7276124954223633;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.7921490669250488;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.40740537643432617;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;1.0962302684783936;0-2;LSB bit-flip
start_time;rtld.c;217;0.5586793422698975;0-2;LSB bit-flip
_dl_rtld_libname2;rtld.c;211;1.007697582244873;0-2;LSB bit-flip
_dl_rtld_libname;rtld.c;210;0.9794001579284668;0-2;LSB bit-flip
_dl_rtld_libname;rtld.c;210;0.8707609176635742;0-2;LSB bit-flip
